id,institucion,provincia,localidad,direccion,cp,telefono,email,horario_atencion,tipo_api,lat,lon
2428,Comisaría,SANTA CRUZ,Puerto San Julian,Avenida San Martín 864,,(02962) 452202/454122,,24 hs,Comisaria,-49.3061028,-67.7268906
2429,Seccional 2°,SANTA CRUZ,Puerto San Julian,Nicanor Hernández 2115,,(02962) 452254/452246,,24 hs,Comisaria,-49.3061028,-67.7268906
2430,Juzgado Civil,SANTA CRUZ,Puerto San Julian,Magallanes 985,,(02962) 452031 Juzgado Penal/ (02962) 452386 Juzgado de Familia,,Lunes a Viernes de 7 a 13 hs,Legal,-49.3061028,-67.7268906
2431,Juzgado De Paz,SANTA CRUZ,Puerto San Julian,Avenida San Martín 145,,(0962) 452226,,Lunes a Viernes de 8 a 13 hs,Legal,-49.3061028,-67.7268906
2432,Hospital Ramón Santa Paul,SANTA CRUZ,Gobernador Gregores,Paradelo 1025,,(02962) 491001/491027/491041,,24 hs,Salud,-48.75498744605907,-70.24529457092285
2433,Área Mujer,SANTA CRUZ,Gobernador Gregores,Avenida San Martín 514,,(02962) 491228,karenkirla@hotmail.com,Lunes a Viernes de 8 a 13 hs,Mujer,-48.75142237084146,-70.24984359741211
2434,Comisaría,SANTA CRUZ,Gobernador Gregores,Avenida San Martín 1085,,(02962) 491088/491055(24hs),,24 hs,Comisaria,-48.752129747152594,-70.24237632751465
2435,Juzgado De Paz,SANTA CRUZ,Gobernador Gregores,San Martín 330,,(02962) 491028,,24 hs,Legal,-48.75142237084146,-70.24984359741211
2436,Defensoría Del Pueblo,SANTA CRUZ,Gobernador Gregores,San Martín 330,,(02962) 491079,,Lunes a Viernes de 8 a 13 hs,Legal,-48.75142237084146,-70.24984359741211
2437,Servicio De Protección De Derechos De Niños Y Adolescentes,SANTA CRUZ,Gobernador Gregores,Padre Brasesco y San Martín,,(02962) 491921,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-48.75142237084146,-70.24984359741211
2438,Comisión De Fomento,SANTA CRUZ,Hipolito Irigoyen (Rio Chico),Avenida San Martín 50,,(02963) 490260,victorpennisi@gmail.com,Lunes a Viernes de 8 a 13 hs,Mujer,-49.7833333,-68.6166667
2439,Juzgado De Paz,SANTA CRUZ,Hipolito Irigoyen (Rio Chico),Las Calandrias S/N,,(02963) 490245,,Lunes a Viernes de 8 a 13 hs,Legal,-49.7833333,-68.6166667
2440,Centro De Salud,SANTA FE,Pozo Borrado,La Reconquista S/N,,Sin Teléfono,,24 hs,Salud,-28.9369793,-61.7073402
2441,Centro De Salud,SANTA FE,San Bernardo,Ruta Nacional 95 Km 844,,Sin Teléfono,,24 hs,Salud,-28.580825,-61.513395
2442,Comisaría 4°,SANTA FE,Santa Margarita,Manuel Belgrano S/N,,Sin teléfono de linea,,24 hs,Comisaria,-28.311703,-61.548351
2443,Centro De Salud,SANTA FE,Santa Margarita,Fray Esquiu S/N,,Sin Teléfono,,24 hs,Salud,-28.311703,-61.548351
2444,Comisaría 2°,SANTA FE,Villa Minetti,25 De Mayo 981,,(03491) 496030,,24 hs,Comisaria,-28.6230153,-61.6269873
2445,Centro De Salud,SANTA FE,Villa Minetti,Mariano Moreno S/N,,(03491) 496512,,24 hs,Salud,-28.6230153,-61.6269873
2446,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Villa Minetti,Solitario Montoto 748,,(03491) 496069 (centrex: 6503),,24 hs,Salud,-28.6230153,-61.6269873
2447,Centro de Asistencia Judicial,SANTA FE,Tostado,Independencia y Presidente Roca,,(03491) 4753333,,Lunes a Viernes de 7:30 a 13:30 hs,Legal,-29.2327906,-61.7713708
2449,Centro De Salud,SANTA FE,Montefiore,Dr. Luis Drunge S/N,,Sin Teléfono,,24 hs,Salud,-29.6666698,-61.8666611
2450,Fiscal,SANTA FE,Tostado,Avenida San Martín 1600,,(03491) 474477,,Lunes a Viernes de 7 a 13 hs,Legal,-29.2327906,-61.7713708
2451,Centros De Orientación A La Victima De Violencia Familiar Y Sexual,SANTA FE,Tostado,San Martin 1563,,(0308) 422300,,24 hs,Comisaria Mujer,-29.2327907,-61.7713708
2452,Comisaría 1°,SANTA FE,Tostado,San Martin 1653,,(03491) 470555,,24 hs,Comisaria,-29.2327908,-61.7713708
2455,Centro De Salud,SANTA FE,Tostado,Querandíes y Matacos,,Sin Teléfono,,24 hs,Salud,-29.2327911,-61.7713708
2456,Centro De Salud,SANTA FE,Tostado,Santo Domingo y Perezlindo,,Sin Teléfono,,24 hs,Salud,-29.2327912,-61.7713708
2457,Centro De Salud,SANTA FE,Tostado,Chaco S/N,,(03491) 474130,,24 hs,Salud,-29.2327913,-61.7713708
2458,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Tostado,San Martin 1350,,(03491) 470373,,24 hs,Salud,-29.2327914,-61.7713708
2460,Comisaría 9°,SANTA FE,Esteban Rams,Rivadavia S/N,,(03491) 481052,,24 hs,Comisaria,-29.7732162,-61.4882812
2461,Centro De Salud,SANTA FE,Esteban Rams,John Kennedy S/N,,Sin Teléfono,,24 hs,Salud,-29.7732162,-61.4882812
2462,Comisaría 3°,SANTA FE,Gregorio Perez De Denis,Avenida Pueyrredón S/N,,(03491) 484014,,24 hs,Comisaria,-28.2254086,-61.5275879
2463,Centro De Salud,SANTA FE,Gregorio Perez De Denis,Santa Fe S/N,,Sin Teléfono,,24 hs,Salud,-28.2254086,-61.5275879
2464,Comisaría 7°,SANTA FE,Logroño,Centro Civico,,(03491) 490170,,24 hs,Comisaria,-29.5037804,-61.6964684
2465,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Logroño,Buenos Aires S/N,,(03491) 490050 (centrex: 6487),,24 hs,Salud,-29.5037804,-61.6964684
2466,Comisaría De La Mujer,SANTA FE,Las Rosas,San Martín 299,,(03471) 451002,,24 hs,Comisaria Mujer,-32.477051,-61.577972
2469,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Las Rosas,Paso De Los Andes 419,,(03471) 451205/451004,,24 hs,Salud,-32.477051,-61.577972
2470,Comisaría 3°,SANTA FE,Armstrong,14 De Diciembre 1559,,(03471) 461219,,24 hs,Comisaria,-32.781292,-61.602489
2471,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Armstrong,Pasaje Pedro Rolando 1602,,(03471) 461342 (centrex: 6389),,24 hs,Salud,-32.781292,-61.602489
2472,Comisaría 6°,SANTA FE,Bouquet,Moreno 184,,(03471) 496381,,24 hs,Comisaria,-32.423889,-61.890724
2473,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Bouquet,3 De Febrero 210,,(03471) 496376,,24 hs,Salud,-32.423889,-61.890724
2475,Comisaría De La Mujer,SANTA FE,Las Parejas,Calle 14 Nº 909,,(03471) 471118,,24 hs,Comisaria Mujer,-32.680557,-61.520447
2476,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Las Parejas,Avenida 17 Nº 669,,(03471) 471200 (centrex: 6391),,24 hs,Salud,-32.680557,-61.520447
2477,Comisaría 4°,SANTA FE,Montes De Oca,Sarmiento 542,,(03471) 495103,,24 hs,Comisaria,-32.939114,-60.685588
2478,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Montes De Oca,Sarmiento 543,,(03471) 495000,,24 hs,Salud,-32.939114,-60.685588
2479,Comisaría 5°,SANTA FE,Tortugas,Bv. Celman 609,,(03471) 494113,,24 hs,Comisaria,-32.74453,-61.819412
2480,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Tortugas,Sarmiento 254,,(03471) 494332/494538,,24 hs,Salud,-32.74453,-61.819412
2481,Comisaría De La Mujer,SANTA FE,Casilda,Estanislao Zaballos 2199,,(03464) 422100 (interno: 116),,24 hs,Comisaria Mujer,-33.049622,-61.166382
2483,Comisaría 1°,SANTA FE,Casilda,Estanislao Zaballos 2199,,(03464) 422217,,24 hs,Comisaria,-33.049622,-61.166382
2484,Hospital San Carlos,SANTA FE,Casilda,9 De Julio 2351,,(03464) 422107/422382,,24 hs,Salud,-33.036411,-61.157409
2485,Centro De Salud,SANTA FE,Casilda,Washington 2903,,(03464) 423047,,24 hs,Salud,-33.040718,-61.177689
2486,Centro De Salud,SANTA FE,Casilda,Mitre 1165,,(03464) 427934,,24 hs,Salud,-33.054254,-61.162745
2487,Centro De Salud,SANTA FE,Casilda,San Lorenzo 1215,,(03464) 427806,,24 hs,Salud,-33.049752,-61.155697
2488,Centro De Salud,SANTA FE,Casilda,Chile 2421,,Sin Teléfono,,24 hs,Salud,-33.047052,-61.178356
2489,Centro De Salud,SANTA FE,Casilda,Remedios De Escalada 4265,,(03464) 425600,,24 hs,Salud,-33.0539,-61.190268
2490,Comisaría 7°,SANTA FE,Arequito,9 De Julio 1099,,(03464) 471154,,24 hs,Comisaria,-33.14497,-61.468216
2491,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Arequito,Doctor J. Manino 2080,,(03464) 471184 (centrex: 6310),,24 hs,Salud,-33.14497,-61.468216
2492,Comisaría 3°,SANTA FE,Arteaga,Santa Fe 294,,(03467) 450200,,24 hs,Comisaria,-33.011097,-60.643284
2493,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Arteaga,Belgrano 387,,(03467) 450369 (centrex: 6351),,24 hs,Salud,-33.089535,-61.791531
2494,Comisaría 6°,SANTA FE,Bigand,Sarmiento 673,,(03464) 461013,,24 hs,Comisaria,-33.374905,-61.184288
2495,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Bigand,San Martín 1088,,(03464) 461028 (centrex: 6307),,24 hs,Salud,-33.374905,-61.184288
2496,Subcomisaria,SANTA FE,Berabevu,General Roca 84,,(03465) 494232,,24 hs,Comisaria,-33.341564,-61.861717
2497,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Berabevu,Ganavelli 215,,Sin Teléfono,,24 hs,Salud,-33.341564,-61.861717
2498,Comisaría 4°,SANTA FE,Chabas,R. S. Peña 1842,,(03464) 480309,,24 hs,Comisaria,-33.245632,-61.35659
2500,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Chabas,Rosario,,(03464) 480211 (centrex: 6312),,24 hs,Salud,-33.245632,-61.35659
2501,Comisaría 5°,SANTA FE,Chanear Ladeado,Álvarez (Entre Rivadavia),,(03468) 481211,,24 hs,Comisaria,-33.322304,-62.037327
2502,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Chanear Ladeado,Santa Fe 272,,Sin Teléfono,,24 hs,Salud,-33.316,-62.033
2503,Subcomisaria,SANTA FE,Godeken,Calle 13 y 11,,(03465) 498030,,24 hs,Comisaria,-33.383333,-61.833333
2504,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Godeken,Calle 20 Nº 415,,(03465) 498145 (centrex: 6339),,24 hs,Salud,-33.383333,-61.833333
2505,Subcomisaria,SANTA FE,Los Molinos,López 415,,(03464) 495111,,24 hs,Comisaria,-33.103775,-61.325558
2506,Centro De Salud,SANTA FE,Los Molinos,Martín Fierro 164,,(03464) 495145,,24 hs,Salud,-33.103775,-61.325558
2507,Subcomisaria,SANTA FE,Sanford,Paraguay 511,,(03464) 496121,,24 hs,Comisaria,-33.145901,-61.276165
2508,Centro De Salud,SANTA FE,Sanford,España 544,,(03464) 496295,,24 hs,Salud,-33.145901,-61.276165
2509,Comisaría 2°,SANTA FE,San Jose De La Esquina,Cárcamo 937,,(03467) 461220,,24 hs,Comisaria,-33.11309,-61.702194
2510,Servicio Para La Atención Médica De La Comunidad,SANTA FE,San Jose De La Esquina,San Martín 951,,(03467) 461249/462010,,24 hs,Salud,-33.11309,-61.702194
2511,Subcomisaria,SANTA FE,Villada,E. López 310,,(03465) 491118,,24 hs,Comisaria,-33.35,-61.45
2512,Centro De Salud,SANTA FE,Villada,Ruta 33 Nº 458,,(03465) 491072 (centrex: 6325),,24 hs,Salud,-33.35,-61.45
2513,Comisaría 6°,SANTA FE,Frontera,Calle 84 N° 76,,(03564) 425067,,24 hs,Comisaria,-31.427778,-62.061944
2514,Centro De Salud,SANTA FE,Frontera,Calle 5 (Esquina Calle 12),,Sin Teléfono,,24 hs,Salud,-31.427779,-62.061945
2515,Destacamento,SANTA FE,Galisteo,Zona Urbana,,(03493) 429982,,24 hs,Comisaria,-31.033331,-61.366661
2516,Subcomisaria,SANTA FE,Garibaldi,Zona Urbana,,(03406) 495090,,24 hs,Comisaria,-31.67559,-62.066574
2517,Centro De Salud,SANTA FE,Garibaldi,Principal S/N,,Sin Teléfono,,24 hs,Salud,-31.67559,-62.066574
2518,Comisaría 7°,SANTA FE,Humberto 1°,Córdoba 136,,(03493) 480002,,24 hs,Comisaria,-30.865158,-61.351032
2519,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Humberto 1°,San Martin 844,,(03493) 480150 (centrex: 1276),,24 hs,Salud,-30.865158,-61.351032
2520,Subcomisaria,SANTA FE,Josefina,25 De Mayo S/N,,(03492) 469001,,24 hs,Comisaria,-31.404785,-61.991448
2521,Centro De Salud,SANTA FE,Josefina,Corrientes S/N,,(03492) 469075,,24 hs,Salud,-31.404785,-61.991448
2522,Comisaria 14°,SANTA FE,Lehmann,Avenida Belgrano 202,,(03492) 4800015,,24 hs,Comisaria,-31.116671,-61.51667
2523,Centro De Salud,SANTA FE,Lehmann,Güemes y Almafuerte,,(03492) 480400,,24 hs,Salud,-31.116671,-61.51667
2524,Comisaría 4°,SANTA FE,Maria Juana,Mitre 590,,(03406) 471230,,24 hs,Comisaria,-31.675812,-61.751121
2525,Centro De Salud,SANTA FE,Maria Juana,Belgrano 252,,(03406) 471795,,24 hs,Salud,-31.675812,-61.751121
2526,Subcomisaria,SANTA FE,Plaza Clucellas,Avenida Corrientes 239,,(03492) 499011,,24 hs,Comisaria,-31.452664,-61.706764
2527,Centro De Salud,SANTA FE,Plaza Clucellas,Avenida Buenos Aires S/N,,(03492) 499377,,24 hs,Salud,-31.452664,-61.706764
2528,Centro De Salud,SANTA FE,Presidente Roca,P. Pedro Torres 59,,Sin Teléfono,,24 hs,Salud,-31.212851,-61.613159
2529,Subcomisaria,SANTA FE,Presidente Roca,Zona Urbana,,(03492) 485020,,24 hs,Comisaria,-31.212851,-61.613159
2530,Destacamento,SANTA FE,Pueblo Marini,Zona Urbana,,(03492) 496097,,24 hs,Comisaria,-31.038622,-61.887787
2531,Comisaría 9°,SANTA FE,Ramona,Tornquist y Sarmiento,,(03492) 496002,,24 hs,Comisaria,-31.092281,-61.900078
2532,Centro De Salud,SANTA FE,Ramona,Moreno 16,,(03492) 496442,,24 hs,Salud,-31.092281,-61.900078
2533,Subcomisaria,SANTA FE,Saguier,Zona Urbana,,(03492) 486013,,24 hs,Comisaria,-31.324362,-61.668099
2534,Centro De Salud,SANTA FE,Saguier,Buenos Aires y Santa Fe,,(03492) 486038,,24 hs,Salud,-31.324362,-61.668099
2536,Centro De Salud,SANTA FE,San Antonio,San Juan y San Martín,,(03492) 491136,,24 hs,Salud,-31.210871,-61.724064
2537,Comisaría 5°,SANTA FE,San Vicente,San Martin 390,,(03492) 470391,,24 hs,Comisaria,-31.698952,-61.567196
2538,Servicio Para La Atención Médica De La Comunidad,SANTA FE,San Vicente,Belgrano 565,,(03492) 471262/470262,,24 hs,Salud,-31.698952,-61.567196
2539,Comisaría 8°,SANTA FE,Santa Clara De Saguier,S. Clara De Asís 54,,(03492) 490002,,24 hs,Comisaria,-31.335684,-61.817916
2540,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Santa Clara De Saguier,Echeverría 58,,(03492) 490019 (centrex: 1256),,24 hs,Salud,-31.335684,-61.817916
2541,Comisaría 3°,SANTA FE,Sunchales,Avenida Belgrano 380,,(03493) 420134/420483/452911,,24 hs,Comisaria,-30.942957,-61.559891
2542,Seccional 5°,SANTA FE,Sunchales,Belgrano y Urquiza,,(03493) 453148,,24 hs,Comisaria,-30.942957,-61.559891
2543,Centro De Salud,SANTA FE,Sunchales,Gardel 550,,(03493) 421626,,24 hs,Salud,-30.942957,-61.559891
2544,Centro De Salud,SANTA FE,Sunchales,Rotania 1336,,(03493) 426732,,24 hs,Salud,-30.942957,-61.559891
2545,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Sunchales,Avenida Belgrano y Dentesano,,(03493) 420173/099 (Centrex: 1271),,24 hs,Salud,-30.942957,-61.559891
2546,Subcomisaria,SANTA FE,Susana,Zona Urbana,,(03492) 482094,,24 hs,Comisaria,-31.35575,-61.515834
2547,Centro De Salud,SANTA FE,Susana,Cabildo y San Martin,,(03492) 482002,,24 hs,Salud,-31.35575,-61.515834
2548,Subcomisaria,SANTA FE,Tacural,Estanislao López 535,,(03493) 492272,,24 hs,Comisaria,-30.845102,-61.59222
2549,Centro De Salud,SANTA FE,Tacural,25 De Mayo 603,,Sin Teléfono,,24 hs,Salud,-30.845102,-61.59222
2550,Destacamento,SANTA FE,Tacurales,Zona Urbana,,(03493) 429981,,24 hs,Comisaria,-30.816669,-61.75
2551,Comisaria 10°,SANTA FE,Vila,Bv. Acuña y Belgrano,,(03492) 493015,,24 hs,Comisaria,-31.19057,-61.832841
2552,Centro De Salud,SANTA FE,Vila,Bv. Acuña 155,,(03492) 493350,,24 hs,Salud,-31.19057,-61.832841
2553,Subcomisaria,SANTA FE,Villa San Jose,Zona Urbana,,(03492) 494048,,24 hs,Comisaria,-31.336749,-61.621662
2554,Subcomisaria,SANTA FE,Virginia,Zona Urbana,,(03493) 492631,,24 hs,Comisaria,-30.733221,-61.336437
2555,Centro De Salud,SANTA FE,Virginia,Valentina Maldonado S/N,,(03493) 492604,,24 hs,Salud,-30.733221,-61.336437
2557,Centro De Salud,SANTA FE,Zenon Pereyra,Hipólito Irigoyen 507,,(03564) 492390,,24 hs,Salud,-31.560074,-61.89634
2558,Centro De Asistencia A La Victima Y Al Testigo Del Delito,SANTA FE,Rafaela,Pueyrredon 123,,Sin teléfono de linea,,Lunes a Viernes de 8 a 13 hs,Mujer,-31.252058,-61.48824
2559,Comisaría De La Mujer,SANTA FE,Rafaela,Avenida Santa Fe y Salta,,(03492) 453148/3048,,24 hs,Comisaria Mujer,-31.258398,-61.485382
2561,Comisaría 1°,SANTA FE,Rafaela,Avenida Italia 458,,(03492) 425083/430900/505083,,24 hs,Comisaria,-31.251747,-61.474788
2562,Comisaría 2°,SANTA FE,Rafaela,Bolivar 518,,(03492) 425082/501960,,24 hs,Comisaria,-31.248999.,-61.496777
2563,Comisaria 13°,SANTA FE,Rafaela,Tucuman 1413,,(03492) 422187/501013,,24 hs,Comisaria,-31.240739,-61.481694
2564,Comisaria 15°,SANTA FE,Rafaela,Monseñor Brasca 650,,(03492) 437385,,24 hs,Comisaria,-31.25545.,-61.514937
2566,Destacamento,SANTA FE,Rafaela,A. Terragni y M. Zaspe,,(03492) 431638,,24 hs,Comisaria,-31.268511,-61.507515
2567,Destacamento,SANTA FE,Rafaela,Villa Podio,,(03492) 453069,,24 hs,Comisaria,-31.26329,-61.47606
2568,Centro De Salud,SANTA FE,Rafaela,Jaime Ferre 405,,(03492) 441085,,24 hs,Salud,-31.23923,-61.48384
2569,Centro De Salud,SANTA FE,Rafaela,Santa Rosa 727,,(03492) 453123,,24 hs,Salud,-31.250406,-61.468842
2570,Centro De Salud,SANTA FE,Rafaela,Luis Braille 1095,,(03492) 426430,,24 hs,Salud,-31.26159,-61.48123
2571,Centro De Salud,SANTA FE,Rafaela,Luis Maggi 2040,,(03492) 440199,,24 hs,Salud,-31.23490,-61.50925
2572,Centro De Salud,SANTA FE,Rafaela,López y Planes 1343,,(03492) 431888,,24 hs,Salud,-31.260458,-61.512035
2573,Centro De Salud,SANTA FE,Rafaela,Monseñor Zaspe 1899,,(03492) 453124,,24 hs,Salud,-31.268511,-61.507515
2574,Centro De Salud,SANTA FE,Rafaela,Bolinger 161,,(03492) 423332,,24 hs,Salud,-31.243919,-61.47693
2575,Centro De Salud,SANTA FE,Rafaela,Monseñor Brasca S/N,,(03492) 453103,,24 hs,Salud,-31.253975,-61.514736
2576,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Rafaela,Lisandro De La Torre 737,,(03492) 421621/27 (centrex: 6506),,24 hs,Salud,-31.243914,-61.500678
2577,Subcomisaria,SANTA FE,Angelica,Estanislao López 178,,(03492) 487407,,24 hs,Comisaria,-31.551441,-61.544815
2578,Centro De Salud,SANTA FE,Angelica,Lisandro De La Torre 137,,(03492) 487534,,24 hs,Salud,-31.551441,-61.544815
2579,Subcomisaria,SANTA FE,Ataliva,Sarmiento 188,,(03493) 491020,,24 hs,Comisaria,-30.997159,-61.428406
2580,Centro De Salud,SANTA FE,Ataliva,Dorrego 3100,,(03493) 491057,,24 hs,Salud,-30.997158,-61.428406
2581,Subcomisaria,SANTA FE,Aurelia,Zona Urbana,,(03492) 488060,,24 hs,Comisaria,-31.416667,-61.416667
2582,Comisaría,SANTA FE,Bauer Y Sigel,Zona Urbana,,(03492) 489050,,24 hs,Comisaria,-31.271603,-61.944588
2583,Centro De Salud,SANTA FE,Bella Italia,Santa Fe 31 y Diagonal 20 De Junio,,(03492) 497009,,24 hs,Salud,-32.9357141,-60.6456765
2584,Comisaria 11°,SANTA FE,Colonia Aldao,Camilo Aldao S/N,,(03493) 497013,,24 hs,Comisaria,-30.980076,-61.742645
2585,Centro De Salud,SANTA FE,Colonia Aldao,Moreno 280,,(03493) 497325,,24 hs,Salud,-30.980076,-61.742645
2586,Subcomisaria,SANTA FE,Colonia Bicha,Zona Urbana,,(03493) 492746,,24 hs,Comisaria,-30.851022,-61.847889
2587,Centro De Salud,SANTA FE,Colonia Bicha,Corrientes S/N,,(03493) 492710,,24 hs,Salud,-30.851021,-61.847889
2588,Subcomisaria,SANTA FE,Colonia Cello,Manzana 24 S/N,,(03492) 492043/492131,,24 hs,Comisaria,-31.431738,-61.839497
2589,Subcomisaria,SANTA FE,Colonia Margarita,Zona Urbana,,(03492) 495812,,24 hs,Comisaria,-31.700002,-61.650001
2590,Centro De Salud,SANTA FE,Colonia Margarita,San Martin 265,,(03492) 495308,,24 hs,Salud,-31.700001,-61.650001
2591,Destacamento,SANTA FE,Colonia Maua,Zona Urbana,,(03493) 429974,,24 hs,Comisaria,-30.76667,-61.26667
2592,Subcomisaria,SANTA FE,Colonia Raquel,Hiriondo S/N,,(03493) 496001,,24 hs,Comisaria,-30.83334,-61.48333
2593,Centro De Salud,SANTA FE,Colonia Raquel,Rene Favaloro S/N,,(03493) 496002,,24 hs,Salud,-30.83333,-61.48333
2594,Subcomisaria,SANTA FE,Coronel Fraga,Zona Urbana,,(03492) 492058,,24 hs,Comisaria,-31.174468,-61.917824
2595,Centro De Salud,SANTA FE,Coronel Fraga,Aaron Castellanos 204,,(03492) 481088,,24 hs,Salud,-31.174469,-61.917824
2596,Subcomisaria,SANTA FE,Egusquiza,Zona Urbana,,(03492) 484537,,24 hs,Comisaria,-31.2,-61.650001
2597,Centro De Salud,SANTA FE,Egusquiza,9 De Julio S/N,,(03492) 484510,,24 hs,Salud,-31.1,-61.650001
2598,Subcomisaria,SANTA FE,Esmeralda,Zona Urbana,,(03492) 498179,,24 hs,Comisaria,-31.617944,-61.931629
2599,Centro De Salud,SANTA FE,Esmeralda,Avenida Centenario 387,,(03492) 498110,,24 hs,Salud,-31.617946,-61.931629
2600,Subcomisaria,SANTA FE,Estacion Clucellas,Peru 209,,(03492) 495016,,24 hs,Comisaria,-31.524125,-61.718405
2601,Centro De Salud,SANTA FE,Estacion Clucellas,Presidente Peron S/N (Entre Parana y 9 De Julio ),,(03492) 495002/495016/495374,,24 hs,Salud,-31.524125,-61.718405
2602,Comisaría De La Mujer,SANTA FE,Villa Constitución,Lisandro De La Torre 433,,(03400) 474946,,24 hs,Comisaria Mujer,-33.2273462,-60.3309154
2603,Comisaría 1°,SANTA FE,Villa Constitución,Lisandro De La Torre 433,,(03400) 474802,,24 hs,Comisaria,-33.2273462,-60.3309154
2604,Comisaria 13°,SANTA FE,Villa Constitución,Chubut 1500 – Barrio Troil,,(03400) 474548,,24 hs,Comisaria,-33.2273462,-60.33091539999998
2605,Destacamento Barrio Arroyo Del Medio,SANTA FE,Villa Constitución,Barrio Arroyo Del Medio,,(03400) 477921,,24 hs,Comisaria,-33.2273462,-60.3309154
2606,Centro Integrador Comunitario,SANTA FE,Villa Constitución,Almafuerte y Calle Publica 3,,(03400) 430010,,24 hs,Salud,-33.2273462,-60.3309154
2607,Centro De Salud,SANTA FE,Villa Constitución,Sivori 1005,,Sin teléfono de linea,,24 hs,Salud,-33.2273462,-60.3309154
2608,Centro De Salud,SANTA FE,Villa Constitución,Cabildo 92,,Sin Teléfono,,24 hs,Salud,-33.2273462,-60.3309154
2609,Centro De Salud,SANTA FE,Villa Constitución,Barrio Troilo,,Sin teléfono de linea,,24 hs,Salud,-33.2273462,-60.3309154
2610,Centro De Salud,SANTA FE,Villa Constitución,Barrio Union,,Sin teléfono de linea,,24 hs,Salud,-33.2273462,-60.3309154
2611,Centro De Salud,SANTA FE,Villa Constitución,J J Valle 735,,Sin teléfono de linea,,24 hs,Salud,-33.2273462,-60.3309154
2612,Centro De Salud,SANTA FE,Villa Constitución,Barrio Luzuriaga,,Sin teléfono de linea,,24 hs,Salud,-33.2273462,-60.3309154
2613,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Villa Constitución,Bolivar 1600,,(03400) 474057/473448,,24 hs,Salud,-33.2273462,-60.3309154
2614,Comisaría 2°,SANTA FE,Alcorta,San Lorenco 954,,(03465) 470202,,24 hs,Comisaria,-33.5407791,-61.1208191
2615,Servicio Para La Atención Médica De La Comunidad,SANTA FE,Alcorta,9 De Julio 1078,,(03465) 470257 (centrex: 6322),,24 hs,Salud,-33.5407791,-61.1208191
2616,Comisaria 10°,SANTA FE,Bombal,Altamirano 590,,(03465) 497039,,24 hs,Comisaria,-33.4575958,-61.3179207
2617,Destacamento,SANTA FE,Cañada Rica,R. Guiraldes 82,,(03460) 499000,,24 hs,Comisaria,-33.5166702,-60.6166611
2618,Centro De Salud,SANTA FE,Cañada Rica,R. Guiraldes 78,,(03460) 499121,,24 hs,Salud,-33.5166702,-60.6166611
2619,Destacamento,SANTA FE,Cepeda,Colazo S/N,,(03460) 491171,,24 hs,Comisaria,-33.3979301,-60.6249351
2620,Centro De Salud,SANTA FE,Cepeda,Colazo 185,,(03460) 491195,,24 hs,Salud,-33.3979301,-60.6249351
2621,Comisaría 5°,SANTA FE,Empalme,España 298,,(03400) 493133,,24 hs,Comisaria,-32.9352112,-60.6955585
2622,Efectores De Salud,SANTA FE,Empalme,Rivadavia 179,,(03400) 493123,,24 hs,Salud,-32.9352112,-60.6955585
2623,Destacamento,SANTA FE,General Gelly,F. Elizalde 562,,(03477) 490003,,24 hs,Comisaria,-33.5999985,-60.5999985
2624,Efectores De Salud,SANTA FE,General Gelly,Belgrano y Alem,,(02477) 490004,,24 hs,Salud,-33.5999985,-60.5999985
2625,Comisaria 12°,SANTA FE,Godoy,San Martin 570,,(03460) 497012,,24 hs,Comisaria,-33.3688049,-60.5078812
2626,Efectores De Salud,SANTA FE,Godoy,Peña 275,,(03460) 497037,,24 hs,Salud,-33.3688049,-60.5078812
2627,Comisaría 8°,SANTA FE,Juan B Molina,Alberdi 337,,(03460) 498222,,24 hs,Comisaria,-33.50351,-60.51263
2628,Efectores De Salud Samco Juan B Molina,SANTA FE,Juan B Molina,Moreno 64,,(03460) 498202,,24 hs,Salud,-33.50351,-60.51263
2629,Comisaria 11°,SANTA FE,Juncal,San Martin 298,,(03473) 492300,,24 hs,Comisaria,-33.716671,-61.0499992
2630,Efectores De Salud,SANTA FE,Juncal,Mitre 190,,(02473) 492200/392,,24 hs,Salud,-33.716671,-61.0499992
2631,Destacamento,SANTA FE,La Vanguardia,Rosario De Santa Fe S/N,,(03460) 493064,,24 hs,Comisaria,-33.3666611,-60.6500015
